2025-05-29T16:42:06.344Z|teste|undefined
2025-05-29T16:42:13.536Z|teste|undefined
2025-05-29T16:42:55.594Z|teste|joao: ioiii
2025-05-29T16:43:21.057Z|teste|bahia: wwweewew
2025-05-29T16:43:23.585Z|outrassala|joao: eweweweew
2025-05-30T13:43:35.715Z|sala|joao: sad
2025-05-30T13:48:24.292Z|bahia|joao: oi
2025-05-30T13:48:39.684Z|bahia|joao: oi
2025-05-30T13:48:55.236Z|bahia|joao: tu é mo otario
2025-05-30T13:55:45.323Z|wew|aaa: oi
2025-05-30T13:55:56.660Z|wew|aaa: falaa cmg
2025-05-30T13:56:00.115Z|wew|bbb: opaa
